"Date","Flow"
1973-12-02,48.4774
1973-12-03,47.7039
1973-12-04,45.8967
1973-12-05,45.7592
1973-12-06,45.2186
1973-12-07,43.4738
1973-12-08,62.154
1973-12-09,126.0431
1973-12-10,103.7508
1973-12-11,81.8094
1973-12-12,66.9006
1973-12-13,51.7958
1973-12-14,42.0004
1973-12-15,38.4653
1973-12-16,35.5721
1973-12-17,32.0191
1973-12-18,32.746
1973-12-19,1707.4
1973-12-20,4302.4888
1973-12-21,4281.2286
1973-12-22,3271.2423
1973-12-23,3249.1519
1973-12-24,3147.6269
1973-12-25,2511.3075
1973-12-26,2779.3938
1973-12-27,2749.0644
1973-12-28,2160.0064
1973-12-29,2020.4744
1973-12-30,1447.3086
1973-12-31,1113.5341
1974-01-01,779.7606
1974-01-02,1343.2268
1974-01-03,3896.7905
1974-01-04,4516.75
1974-01-05,5279.6662
1974-01-06,5978.5298
1974-01-07,5841.3569
1974-01-08,6499.1779
1974-01-09,6377.2074
1974-01-10,5334.3542
1974-01-11,4893.3317
1974-01-12,3544.5586
1974-01-13,2800.3694
1974-01-14,4797.7331
1974-01-15,7680.6759
1974-01-16,8110.1448
1974-01-17,8554.9213
1974-01-18,9224.6368
1974-01-19,11046.7359
1974-01-20,11817.28
1974-01-21,15810.7946
1974-01-22,23703.1926
1974-01-23,25482.8032
1974-01-24,21172.3332
1974-01-25,25453.699
1974-01-26,24110.9596
1974-01-27,19499.5382
1974-01-28,14760.3307
1974-01-29,14288.3941
1974-01-30,14611.0564
1974-01-31,14354.6572
1974-02-01,18192.8126
1974-02-02,21880.4005
1974-02-03,17100.235
1974-02-04,15045.3639
1974-02-05,15973.5135
1974-02-06,16942.7047
1974-02-07,10397.4591
1974-02-08,8149.8729
1974-02-09,6236.7355
1974-02-10,4368.0314
1974-02-11,3612.6671
1974-02-12,4693.4958
1974-02-13,4564.6591
1974-02-14,3633.6804
1974-02-15,2754.8358
1974-02-16,2091.2239
1974-02-17,1769.8123
1974-02-18,1757.9854
1974-02-19,3895.4169
1974-02-20,2883.3807
1974-02-21,2553.9257
1974-02-22,2322.9472
1974-02-23,1751.0907
1974-02-24,1498.3426
1974-02-25,1494.4727
1974-02-26,1642.9021
